timestamp,scan_time,trade_date,code,name,price,change_pct,market_status,decision,buy_count,sell_count,rebound_count,trend_count,consolidate_buy_count,position_ratio,atr,rsi_6,macd_dif,macd_dea,macd_bar,ma5,ma10,ma20,volume_ratio,buy_signals_detail,sell_signals_detail,decision_reason,weight_system,shadow_price,shadow_result_5d,shadow_result_10d,result_filled
2026-04-28T10:40:55.396180,10:40:55,2026-04-28,sh603596,伯特利,45.58,-3.799071338117358,弱势,WATCH,0,0,0,1,1,0.0,1.182,46.49,-0.2785,-0.6019,0.0,46.513999999999996,46.263999999999996,45.5235,0.0,[],[],信号不足[0/2],old,,,,
2026-04-28T10:40:55.396380,10:40:55,2026-04-28,sz002801,微光股份,31.1,-2.170493865995589,弱势,WATCH,1,0,1,0,2,0.0,0.7196,12.96,-0.2335,-0.3224,0.0,31.863999999999997,32.161,31.462,0.0,"[""RSI=13.0<35+局部低点""]",[],信号不足[1/2],old,,,,
2026-04-28T10:50:57.534553,10:50:57,2026-04-28,sz002997,瑞鹄模具,29.19,-1.5846257585974337,弱势,BUY,3,0,3,0,2,0.3,0.7515,5.51,-0.508,-0.3726,0.0,30.151999999999997,31.054000000000002,30.874,0.0,"[""RSI=5.5<30拐头↑+局部低点(无量能确认)"", ""触及布林下轨(28.72)"", ""量比=0.49<0.6""]",[],[弱势] RSI=5.5<30拐头↑+局部低点(无量能确认) + 触及布林下轨(28.72) + 量比=0.49<0.6,old,,,,
2026-04-28T10:50:57.534935,10:50:57,2026-04-28,sh603596,伯特利,45.45,-4.073448712536934,弱势,WATCH,0,0,0,1,1,0.0,1.182,44.66,-0.2897,-0.6041,0.0,46.486000000000004,46.25,45.5165,0.0,[],[],信号不足[0/2],old,,,,
2026-04-28T10:50:57.535337,10:50:57,2026-04-28,sz002801,微光股份,31.08,-2.233406731676631,弱势,WATCH,1,0,1,0,2,0.0,0.7196,12.84,-0.2351,-0.3227,0.0,31.860000000000003,32.159,31.461,0.0,"[""RSI=12.8<35+局部低点""]",[],信号不足[1/2],old,,,,
2026-04-28T11:03:11.234515,11:03:11,2026-04-28,sz002997,瑞鹄模具,29.19,-1.5846257585974337,弱势,BUY,3,0,3,0,2,0.3,0.7515,5.51,-0.508,-0.3726,0.0,30.151999999999997,31.054000000000002,30.874,0.0,"[""RSI=5.5<30拐头↑+局部低点(无量能确认)"", ""触及布林下轨(28.72)"", ""量比=0.52<0.6""]",[],[弱势] RSI=5.5<30拐头↑+局部低点(无量能确认) + 触及布林下轨(28.72) + 量比=0.52<0.6,old,,,,
2026-04-28T11:03:11.234771,11:03:11,2026-04-28,sh603596,伯特利,45.35,-4.284508231321235,弱势,WATCH,0,0,0,1,1,0.0,1.182,43.56,-0.2969,-0.6056,0.0,46.468,46.241,45.512,0.0,[],[],信号不足[0/2],old,,,,
2026-04-28T11:03:11.234929,11:03:11,2026-04-28,sz002801,微光股份,31.08,-2.233406731676631,弱势,WATCH,1,0,1,0,2,0.0,0.7196,12.84,-0.2351,-0.3227,0.0,31.860000000000003,32.159,31.461,0.0,"[""RSI=12.8<35+局部低点""]",[],信号不足[1/2],old,,,,
2026-04-28T11:11:01.034974,11:11:01,2026-04-28,sz002997,瑞鹄模具,29.12,-1.820633850303436,弱势,BUY,3,0,3,0,2,0.3,0.7515,5.36,-0.5136,-0.3737,0.0,30.137999999999998,31.047000000000004,30.8705,0.0,"[""RSI=5.4<30拐头↑+局部低点(无量能确认)"", ""触及布林下轨(28.71)"", ""量比=0.54<0.6""]",[],[弱势] RSI=5.4<30拐头↑+局部低点(无量能确认) + 触及布林下轨(28.71) + 量比=0.54<0.6,old,,,,
2026-04-28T11:11:01.035256,11:11:01,2026-04-28,sh603596,伯特利,45.34,-4.30561418319966,弱势,WATCH,0,0,0,1,1,0.0,1.182,43.44,-0.2976,-0.6057,0.0,46.466,46.239999999999995,45.5115,0.0,[],[],信号不足[0/2],old,,,,
